Dasycladaceae	Dasycladales	familia	Dasycladaceae
Dasycladales	Ulvophyceae	ordo	Dasycladales
Ulvophyceae	Chlorophytina	classis	Ulvophyceae
Chlorophyta	Plantae	divisio	Chlorophyta
Levenhookia sect. Coleostylis	Levenhookia	sectio	Levenhookia sect. Coleostylis
Levenhookia	Stylidioideae	genus	Levenhookia
Stylidiaceae	Asterales	familia	Stylidiaceae
Asterales	Campanulids	ordo	Asterales
Asterids	Superasterids	clade!	Asterids
Eudicots	Angiosperms	clade!	Eudicots
Angiosperms	Spermatophytes/Plantae	clade!	Flowering plant
Core eudicots	Eudicots	clade	Core eudicots
Rosids	Superrosids	clade!	Rosids
Fabids	Rosids	clade	Rosids
Monocots	Angiosperms	clade!	Monocotyledon
Fabales	Fabids	ordo	Fabales
Fabaceae	Fabales	familia	Fabaceae
Lamiids	Asterids	clade	Asterids
Commelinids	Monocots	clade!	Commelinids
Faboideae	Fabaceae	subfamilia!	Faboideae
Campanulids	Asterids	clade	Asterids
Poales	Commelinids	ordo	Poales
Poaceae	Graminid clade	familia	Poaceae
Asteraceae	Asterales	familia	Asteraceae
Bryophyta	Setaphyta	divisio	Moss
Bryopsida	Bryophytina	classis	Bryopsida
Lamiales	Lamiids	ordo	Lamiales
Asteroideae	Asteraceae	subfamilia	Asteroideae
Asparagales	Monocots	ordo	Asparagales
Dilleniaceae	Dilleniales	familia	Dilleniaceae
Malvids	Rosids	clade	Malvids
Cornales	Asterids	ordo	Cornales
Ericales	Asterids	ordo	Ericales
Bryidae	Bryopsida	subclassis!	Bryidae
Caryophyllales	Superasterids	ordo	Caryophyllales
Gentianales	Lamiids	ordo	Gentianales
Rosales	Fabids	ordo	Rosales
Sabiaceae	Proteales	familia	Sabiaceae
Cucurbitales	Fabids	ordo	Cucurbitales
Huaceae	Oxalidales	familia	Huaceae
Krameriaceae	Zygophyllales	familia	Krameria
Zygophyllaceae	Zygophyllales	familia	Zygophyllaceae
Vitales	Fabids	ordo	Vitaceae
Myrtales	Malvids	ordo	Myrtales
Huerteales	Malvids	ordo	Huerteales
Geraniales	Malvids	ordo	Geraniales
Crossosomatales	Malvids	ordo	Crossosomatales
Panicoideae	PACMAD clade	subfamilia!	Panicoideae
Pooideae	BOP clade	subfamilia!	Pooideae
Begoniaceae	Cucurbitales	familia	Begoniaceae
Begonia	Begoniaceae	genus	Begonia
Mimosoideae	Caesalpinioideae	cladus!	Mimosoideae
Rosaceae	Rosales	familia	Rosaceae
Malpighiales	Fabids	ordo	Malpighiales
Hypnanae	Bryidae	superordo	Bryidae
Hypnales	Hypnanae	ordo	Hypnales
Malvales	Malvids	ordo	Malvales
Ranunculales	Eudicots	ordo	Ranunculales
Myrtaceae	Myrtales	familia	Myrtaceae
Apocynaceae	Gentianales	familia	Apocynaceae
Acacia	Mimosoid clade	genus	Acacia
Dicranidae	Bryopsida	subclassis!	Dicranidae
Ericaceae	Ericales	familia	Ericaceae
Malvaceae	Malvales	familia	Malvaceae
Lamiaceae	Lamiales	familia	Lamiaceae
Sapindales	Malvids	ordo	Sapindales
Cichorioideae	Asteraceae	subfamilia	Cichorioideae
Phaseoleae	Millettioids	tribus	Phaseoleae
Andropogoneae	Andropogonodae	tribus	Andropogoneae
Ranunculaceae	Ranunculales	familia	Ranunculaceae
Rosoideae	Rosaceae	subfamilia	Rosoideae
Caesalpinioideae	Fabaceae	subfamilia!	Caesalpinioideae
Saxifragales	Superrosids	ordo	Saxifragales
Orchidaceae	Asparagales	familia	Orchid
Rubiaceae	Gentianales	familia	Rubiaceae
Paniceae	Panicodae	tribus	Paniceae
Levenhookia sect. Estipitatae	Levenhookia	sectio	Levenhookia sect. Estipitatae
Levenhookia sect. Levenhookia	Levenhookia	sectio	Levenhookia sect. Levenhookia
Welwitschia	Welwitschiaceae	genus	Welwitschia
Welwitschiaceae	Welwitschiales	familia	Welwitschiaceae
Welwitschiales	Gnetopsida	ordo	Welwitschiaceae
Gnetopsida	Gnetophyta	classis	Gnetophyta
Gnetophyta	Gymnosperms	divisio	Gnetophyta
Bryanae	Bryidae	superordo	Bryidae
Astereae	Asteroideae	tribus	Astereae
Pinophyta	Gymnosperms	divisio	Conifer
Acanthaceae	Lamiales	familia	Acanthaceae
Pinopsida	Pinophyta	classis	Conifer
Alexgeorgea	Restionaceae	genus	Alexgeorgea
Eucalyptus	Eucalypteae	genus	Eucalyptus
Restionaceae	Poales	familia	Restionaceae
Eucalypteae	Myrtoideae	tribus	Eucalypteae
Pinales	Pinidae	ordo	Pinales
Chloridoideae	PACMAD clade	subfamilia!	Chloridoideae
Maurocenia	Celastraceae	genus	Maurocenia
Celastroideae	Celastraceae	subfamilia	Celastroideae
Celastraceae	Celastrales	familia	Celastraceae
Celastrales	Fabids	ordo	Celastrales
Oxalidales	Fabids	ordo	Oxalidales
Sporobolus	Sporobolinae	genus	Sporobolus
Eragrostideae	Chloridoideae	tribus	Eragrostideae
Epidendroideae	Orchidaceae	subfamilia!	Epidendroideae
