Hirtodrosophila	Drosophiliti	genus	毛果蝇属
Drosophiliti	Drosophilina	infratribus	果蝇下族
Drosophilina	Drosophilini	subtribus	果蝇亚族
Drosophilini	Drosophilinae	tribus	果蝇族
Drosophilinae	Drosophilidae	subfamilia	果蝇亚科
Drosophilidae	Drosophiloidea	familia	果蝇科
Ephydroidea	Acalyptratae	superfamilia	水蝇总科
Acalyptratae	Schizophora	zoosubsectio	无瓣亚派
Schizophora	Cyclorrhapha	zoosectio	有缝派
Muscomorpha	Brachycera	infraordo	蠅
Brachycera	Diptera	subordo	短角亚目
Diptera	Antliophora	ordo	雙翅目
Antliophora	Panorpida	unranked	吸吻类
Panorpida	Endopterygota	superordo	蝎蛉总目
Endopterygota	Eumetabola	unranked	内生翅类
Eumetabola	Neoptera	cladus	真变态类
Neoptera	Metapterygota	infraclassis	新翅下纲
Metapterygota	Pterygota	cladus	伴翅类
Pterygota	Dicondylia	subclassis	有翅亞綱
Dicondylia	Insecta	unranked	双髁类
Insecta	Ectognatha	classis	昆虫
Ectognatha	Hexapoda	unranked	昆虫
Hexapoda	Pancrustacea	subphylum	六足亞門
Pancrustacea	Mandibulata	cladus	泛甲殼動物
Arthropoda	Tactopoda	phylum	节肢动物
Tactopoda	Panarthropoda	cladus	序足動物
Panarthropoda	Ecdysozoa	cladus	泛节肢动物
Ecdysozoa	Protostomia	superphylum	蛻皮動物
Protostomia	Nephrozoa	cladus	原口动物
Nephrozoa	Bilateria	cladus	腎管動物
Bilateria	ParaHoxozoa	cladus	两侧对称动物
Eumetazoa	Animalia	subregnum	真后生动物
Palaeoheterodonta	Bivalvia	subclassis	古異齒亞綱
Delphacidae	Fulgoroidea	familia	稻蝨科
Fulgoroidea	Fulgoromorpha	superfamilia	蠟蟬總科
Deuterostomia	Nephrozoa	superphylum	後口動物
Chordata	Deuterostomia	phylum	脊索动物
Vertebrata	Olfactores	subphylum	脊椎动物
Gnathostomata	Vertebrata	infraphylum	有颌下门
Eugnathostomata	Gnathostomata	cladus	有颌下门
Tetrapoda	Stegocephalia	superclassis	四足類
Amniota	Reptiliomorpha	cladus	羊膜動物
Mammalia	Mammaliaformes/skip	classis	哺乳动物
Theria	Tribosphenida	subclassis	獸亞綱
Eutheria	Theria	infraclassis	真獸下綱
Boreoeutheria	Placentalia	magnordo	北方真兽高目
Euarchontoglires	Boreoeutheria	superordo	灵长总目
