Chlorophyta	Plantae	phylum	綠藻門
Acacia	Acacieae	genus	相思树属
Mimosoideae	Caesalpinioideae	cladus	含羞草亚科
Angiosperms	Spermatophyta	clade!	被子植物
Monocots	Mesangiospermae	clade!	單子葉植物
Asparagales	Monocots	ordo	天門冬目
Asparagaceae	Asparagales	familia	天門冬科
Agavoideae	Asparagaceae	subfamilia!	龙舌兰亚科
Fabaceae	Fabales	familia	豆科
Fabales	Fabids	ordo	豆目
Fabids	Rosids	clade	豆类植物
Rosids	Superrosids	clade!	蔷薇类植物
Core eudicots	Eudicots	clade	五瓣花类植物
Eudicots	Mesangiospermae	clade!	真双子叶植物
Asterids	Superasterids	clade!	菊类植物
Magnoliids	Mesangiospermae	clade!	木兰类植物
Amborellales	Angiosperms	ordo	无油樟
Amborellaceae	Amborellales	familia	无油樟
Amborella	Amborellaceae	genus	无油樟
Nymphaeales	Angiosperms	ordo	睡莲目
Nymphaeaceae	Nymphaeales	familia	睡蓮科
Nuphar	Nymphaeaceae	genus	萍蓬草属
Nymphaea	Nymphaeoideae	genus	睡莲属
Ericales	Asterids	ordo	杜鹃花目
Lecythidaceae	Ericales	familia	玉蕊科
Austrobaileyales	Angiosperms	ordo	木兰藤目
Chloranthales	Mesangiospermae	ordo	金粟兰科
Chloranthaceae	Chloranthales	familia	金粟兰科
Ceratophyllales	Mesangiospermae	ordo	金鱼藻目
Ceratophyllaceae	Ceratophyllales	familia	金鱼藻属
Ceratophyllum	Ceratophyllaceae	genus	金鱼藻属
Sarcandra	Chloranthaceae	genus	草珊瑚属
Cornales	Asterids	ordo	山茱萸目
Hydrangeaceae	Cornales	familia	绣球花科
Hydrangea	Hydrangeeae	genus	繡球屬
Canellales	Magnoliids	ordo	白樟目
Piperales	Magnoliids	ordo	胡椒目
Magnoliales	Magnoliids	ordo	木兰目
Laurales	Magnoliids	ordo	樟目
Commelinids	Monocots	clade!	鸭跖草类植物
Arecales	Commelinids	ordo	棕榈目
Dasypogonaceae	Arecales	familia	鼓槌草科
Arecaceae	Arecales	familia	棕榈科
Acorales	Monocots	ordo	菖蒲属
Acoraceae	Acorales	familia	菖蒲属
Acorus	Acoraceae	genus	菖蒲属
Alismatales	Monocots	ordo	澤瀉目
Petrosaviales	Monocots	ordo	无叶莲科
Petrosaviaceae	Petrosaviales	familia	无叶莲科
Dioscoreales	Monocots	ordo	薯蓣目
Pandanales	Monocots	ordo	露兜树目
Liliales	Monocots	ordo	百合目
Poales	Commelinids	ordo	禾本目
Commelinales	Commelinids	ordo	鴨跖草目
Zingiberales	Commelinids	ordo	薑目
Ranunculales	Eudicots	ordo	毛茛目
Superrosids	Core eudicots	clade	超蔷薇类植物
Superasterids	Core eudicots	clade	超菊类植物
Proteales	Eudicots	ordo	山龙眼目
Trochodendrales	Eudicots	ordo	昆栏树科
Trochodendraceae	Trochodendrales	familia	昆栏树科
Buxales	Eudicots	ordo	黃楊目
Gunnerales	Core eudicots	ordo	大叶草目
Dilleniales	Core eudicots	ordo	五桠果目
Saxifragales	Superrosids	ordo	虎耳草目
Santalales	Superasterids	ordo	檀香目
Berberidopsidales	Superasterids	ordo	红珊藤目
Caryophyllales	Superasterids	ordo	石竹目
Vitales	Rosids	ordo	葡萄科
Vitaceae	Vitales	familia	葡萄科
Malvids	Rosids	clade	锦葵类植物
Zygophyllales	Fabids	ordo	蒺藜目
Celastrales	Fabids	ordo	卫矛目
Krameriaceae	Zygophyllales	familia	刺球果属
Krameria	Krameriaceae	genus	刺球果属
Zygophyllaceae	Zygophyllales	familia	蒺藜科
Oxalidales	Fabids	ordo	酢浆草目
Malpighiales	Fabids	ordo	金虎尾目
Rosales	Fabids	ordo	薔薇目
Cucurbitales	Fabids	ordo	葫芦目
Fagales	Fabids	ordo	壳斗目
Geraniales	Malvids	ordo	牻牛儿苗目
Myrtales	Malvids	ordo	桃金娘目
Crossosomatales	Malvids	ordo	缨子木目
Picramniales	Malvids	ordo	美洲苦木科
Picramniaceae	Picramniales	familia	美洲苦木科
Sapindales	Malvids	ordo	无患子目
Huerteales	Malvids	ordo	腺椒树目
Cucurbitaceae	Cucurbitales	familia	葫芦科
Benincaseae	Cucurbitoideae	tribus	冬瓜族
Citrullus	Benincaseae	genus	西瓜属
Malvales	Malvids	ordo	锦葵目
Brassicales	Malvids	ordo	十字花目
Lamiids	Asterids	clade	唇形类植物
Campanulids	Asterids	clade	桔梗类植物
Araceae	Alismatales	familia	天南星科
Monsteroideae	Araceae	subfamilia	龟背竹亚科
Monstereae	Monsteroideae	tribus	龟背竹族
Epipremnum	Monstereae	genus	麒麟尾属
Icacinales	Lamiids	ordo	茶茱萸目
Metteniusales	Lamiids	ordo	水螅花科
Metteniusaceae	Metteniusales	familia	水螅花科
Metteniusa	Metteniusaceae	genus	水螅花属
Gymnostachydoideae	Araceae	subfamilia	-
Gymnostachys	Gymnostachydoideae	genus	-
Rhaphidophora	Monstereae	genus	崖角藤属
Solanales	Lamiids	ordo	茄目
Solanaceae	Solanales	familia	茄科
Solanoideae	Solanaceae	subfamilia	茄亚科
Solaneae	Solanoideae	tribus	茄族
Solanum	Solaneae	genus	茄屬
Solanum subg. Potatoae	Solanum	subgenus	番茄亞屬
Solanum sect. Petota	Solanum subg. Potatoae	sectio	马铃薯组
Solanum subg. Leptostemonum	Solanum	subgenus	茄亚属
Solanum sect. Melongena	Solanum subg. Leptostemonum	sectio	茄组
Solanum sect. Lycopersicon	Solanum subg. Potatoae	sectio	番茄组
Solanum sect. Torva	Solanum subg. Leptostemonum	sectio	-
Solanum subg. Solanum	Solanum	subgenus	龙葵亚属
Solanum sect. Solanum	Solanum subg. Solanum	sectio	龙葵组
Garryales	Lamiids	ordo	丝缨花目
Gentianales	Lamiids	ordo	龍膽目
Boraginales	Lamiids	ordo	紫草目
Boraginaceae	Boraginales	familia	紫草科
Vahliales	Lamiids	ordo	黄漆姑属
Vahliaceae	Vahliales	familia	黄漆姑属
Vahlia	Vahliaceae	genus	黄漆姑属
Lamiales	Lamiids	ordo	脣形目
Aquifoliales	Campanulids	ordo	冬青目
Escalloniales	Campanulids	ordo	南鼠刺目
Escalloniaceae	Escalloniales	familia	南鼠刺科
Asterales	Campanulids	ordo	菊目
Bruniales	Campanulids	ordo	绒球花目
Convolvulaceae	Solanales	familia	旋花科
Ipomoeae	Convolvulaceae	tribus	番薯族
Ipomoea	Ipomoeae	genus	番薯屬
Ipomoea subg. Ipomoea	Ipomoea	subgenus	虎掌藤亚属
Ipomoea sect. Ipomoea	Ipomoea subg. Ipomoea	sectio	虎掌藤组
Ipomoea ser. Ipomoea	Ipomoea sect. Ipomoea	series	虎掌藤系
Paracryphiales	Campanulids	ordo	盔被花科
Paracryphiaceae	Paracryphiales	familia	盔被花科
Apiales	Campanulids	ordo	繖形目
Asteraceae	Asterales	familia	菊科
